,Text,Sentiment,Score
39,RT @ExpertZone: Day 2 of Computex 2018 is in the books and there were a ton of new @Windows device announcements. Watch the highlights!  ht…,Neutral,1.0
40,RT @Windows: Reef madness! Corals and the creatures that call them home come alive in this aquatic #Windows10 Theme. Dive in: https://t.co/…,Neutral,0.775
41,RT @SwampyStorm445: @Windows with the new windows update (windows 1803) I can not adjust the brightness of the screen.,Neutral,0.886
42,"RT @Qualcomm: Multi-day 🔋 life, lightning fast 1.2 Gigabit per second LTE — welcome to the fast, more intelligent world of 
@Windows PCs an…",Neutral,0.769
43,RT @Windows: Reef madness! Corals and the creatures that call them home come alive in this aquatic #Windows10 Theme. Dive in: https://t.co/…,Neutral,0.775
44,RT @TechTrainerTim: Drat--I continue to forget learning how Windows Autopilot works | Simplifying IT with the latest updates from Windows A…,Neutral,0.909
45,RT @BamaStephen: Did you know that #DonaldTrump appeared in 3 “softcore” #Porn videos for #Playboy? Many of us #Conservatives knew; we told…,Neutral,1.0
46,RT @joshuapschooley: No Gays Allowed?   Seriously?  You're dealing with a demographic that traditionally has strong community ties and lots…,Neutral,0.665
47,"RT @gatewaypundit: Liberal #To Conspiracy Media Pretends to be outraged after ⁦@seanhannity⁩ tells #Trump witnesses to smash phones, acid s…",Neutral,0.672
48,"RT @theflash__8: This is from Jan2018 but very relevant::
National #Palestinian #Radio @NPR Did a #FactCheck on their useless website on #T…",Neutral,0.844
49,"RT @Technologyoffe4: How will you be voting in the upcoming #Midterms2018??

Please vote and retweet to spread poll!! #TheResistance #Trump…",Neutral,0.854
50,"RT @ToDropADime2: Think about this.
#Trump will have a more cordial meeting with the brutal Dictator #KimJongUn than he will with 100 year…",Neutral,0.837
51,"RT @pollsofpolitics: How will you be voting in the upcoming #Midterms2018??

Please vote and retweet to spread poll!! #TheResistance #Trump…",Neutral,0.854
52,RT @TheNYevening: President Donald #Trump grants clemency to #AliceJohnson  after Kim #Kardashian West involvement https://t.co/137SfxIsAl…,Neutral,0.881
53,"RT @OscarHokeah: Republicans still voted for him? Lol, 😂😂😂. I guess #trump was right about how dumb his constituents are. #FBResistance #FB…",Neutral,0.757
54,RT @DonCranston: Dear Mr President: the White House was burned by the British in retaliation for the destruction of York (now Toronto) and…,Neutral,0.769
55,"RT @LVNancy: When will the #NFL finally take their abusive players seriously? 

Social injustice, take a knee for this #ThursdayThoughts #T…",Neutral,0.639
56,RT @RealJamesWoods: The vile genocidal killers #Obama once called the “JV team” leave a legacy of horror. Eradicated in the first few month…,Neutral,0.575
57,"RT @MAGAStrong: What is your opinion of @realDonaldTrump’s tweeting?

Do vote and retweet.

As for me, the clear choice is option 2! 💪🏻🇺🇸…",Neutral,0.884
58,"RT @RealAlexJones: Undeniable proof that Obama spied on President Trump during his campaign, forcing Andrew McCabe to beg for immunity from…",Neutral,1.0
59,"RT @DaShanneStokes: If we're going to talk about emails, we need to talk about Trump companies destroying emails against court orders.

htt…",Neutral,0.854
